dateOfLoss,baseFloodElevation,lowestFloorElevation,causeOfDamage,floodRisk,precipitation
1/20/1983,15,17,1,0,6.36
1/21/1983,7,8,4,0,11.74
1/26/1983,6,12,4,1,11.74
1/26/1983,47.5,36,1,1,11.74
1/26/1983,6,6,4,1,11.74
1/28/1983,9,23,1,0,11.74
1/31/1983,10,14,4,0,11.74
1/31/1983,10,17,4,0,11.74
2/3/1983,6,6,1,0,3
2/9/1983,11,12,1,0,3
2/10/1983,14,16,4,0,3
2/10/1983,10,21,4,0,3
2/10/1983,10,17,1,0,3
2/10/1983,8,21,4,0,3
2/10/1983,9,17,1,0,3
2/10/1983,14,21,1,0,3
2/10/1983,14,18,4,0,3
2/10/1983,10,20,1,0,3
2/10/1983,14,17.9,1,0,3
2/10/1983,12,12,1,0,3
2/10/1983,11,16,4,0,3
2/10/1983,14,17,4,0,3
2/10/1983,10,16,1,0,3
2/11/1983,13,21,1,0,5.48
2/11/1983,7,7,4,0,5.48
2/14/1983,15,16,1,0,5.48
2/15/1983,8,22,1,0,5.48
2/16/1983,8.1,11.5,1,0,5.48
2/17/1983,10,21.1,1,0,5.48
2/19/1983,15,16.1,4,0,5.48
2/26/1983,15,16.1,1,0,3.84
2/26/1983,15,19,1,0,3.84
2/26/1983,10,13,4,0,3.84
2/26/1983,8,9,4,0,3.84
2/26/1983,5,7.1,4,0,3.84
2/26/1983,13,4,4,0,3.84
2/26/1983,9,11,1,0,3.84
2/27/1983,14,18,4,0,3.84
2/27/1983,14,18,4,0,3.84
2/27/1983,10,8,4,0,3.84
2/27/1983,1335,1335,1,1,3.84
2/27/1983,1331,1334,1,1,3.84
2/27/1983,13,13,1,0,3.84
2/27/1983,13,13,4,0,3.84
2/28/1983,15,19,4,0,3.84
2/28/1983,17,17,1,1,3.84
3/1/1983,1330,1330,1,1,32.42
3/2/1983,1331,1332,4,1,32.42
3/3/1983,1330,1332,4,1,32.42
3/4/1983,1330.6,1330,4,0,32.42
3/4/1983,5212,5213,4,0,32.42
3/4/1983,5212,5214,1,0,32.42
3/4/1983,5212,5214,1,0,32.42
3/6/1983,1330.6,1332.6,4,0,32.42
3/6/1983,8,8,4,0,32.42
3/7/1983,1331,1337,1,0,32.42
3/10/1983,15,7,1,0,32.42
3/14/1983,14,13,1,0,7.2
3/15/1983,14,18,1,0,7.2
3/15/1983,14,18,4,0,7.2
3/16/1983,1331,1331,1,0,7.2
3/17/1983,99,94.5,1,0,7.2
3/18/1983,585,587.2,4,0,7.2
3/19/1983,585,587.2,1,0,7.2
3/19/1983,158,159.9,1,0,7.2
3/20/1983,10,17,4,0,7.2
3/23/1983,12,11,1,0,3.76
3/24/1983,1331,1336.5,1,0,3.76
3/26/1983,6,8,1,0,3.76
3/26/1983,10,19,1,0,3.76
3/31/1983,1331,1333,4,0,3.76
4/4/1983,572,572,1,0,10.58
4/4/1983,513,513,4,0,10.58
4/6/1983,17,26,1,0,10.58
4/6/1983,14,19.3,4,0,10.58
4/6/1983,14,19.3,1,0,10.58
4/6/1983,12,16.5,4,0,10.58
4/6/1983,26,27,4,0,10.58
4/6/1983,28,28,4,0,10.58
4/6/1983,513,5,4,0,10.58
4/6/1983,10,17,4,0,10.58
4/6/1983,10,14,1,0,10.58
4/6/1983,29,24,1,0,10.58
4/9/1983,12,30.9,1,0,10.58
4/9/1983,513,25,4,0,10.58
4/9/1983,10,16,1,0,10.58
4/10/1983,426,404,4,0,10.58
4/12/1983,11,15,1,0,14.3
4/14/1983,10,16,4,0,14.3
4/17/1983,12,16.5,4,0,14.3
4/20/1983,436,429,1,0,14.3
4/21/1983,10,13,4,0,9.64
4/28/1983,265,250,4,0,9.64
5/7/1983,91,2,4,0,24.82
5/9/1983,436,429,4,0,24.82
5/18/1983,572,572,1,0,20.62
5/20/1983,281,282.3,1,0,20.62
5/20/1983,281,281,1,0,20.62
5/28/1983,145,149,4,0,21.54
5/28/1983,136,138,1,0,21.54
6/18/1983,0,-8,1,0,31.42
6/21/1983,5082,5083,1,1,41.88
6/25/1983,11,11,1,0,41.88
6/27/1983,11,3,4,0,41.88
6/27/1983,,5,4,0,41.88
6/27/1983,10,17,1,0,41.88
6/28/1983,369.8,375.8,1,1,41.88
6/30/1983,367,371,1,1,41.88
7/4/1983,1,1,4,0,13.92
7/28/1983,10,10,1,0,16.16
8/7/1983,,14.3,4,0,17.72
8/14/1983,369.8,374.8,1,0,9
8/15/1983,0,2,1,0,9
8/16/1983,0,2,4,0,9
8/17/1983,,2,1,0,9
8/17/1983,,5,4,0,9
8/17/1983,12,16,1,0,9
8/17/1983,12,14,1,0,9
8/27/1983,8,9,4,0,35.98
8/28/1983,11,12,1,0,35.98
9/11/1983,7,67,1,0,12.94
9/18/1983,12,30,1,0,12.94
11/8/1983,11,12,1,0,9.38
11/22/1983,1,1,1,0,14.86
11/26/1983,52,53.6,4,0,14.86
12/1/1983,473,473,4,1,9.96
12/2/1983,448,448,4,1,9.96
12/2/1983,450,447.3,1,1,9.96
12/2/1983,15,14.8,1,1,9.96
12/2/1983,6.5,4,1,0,9.96
12/5/1983,11,13.3,1,0,9.96
12/15/1983,6,8,1,0,7.1
12/16/1983,23,13,4,0,7.1
12/27/1983,11.8,11.8,4,0,8.64
1/5/1984,1227.8,1229.8,1,0,3.36
